UNID,PDIR,fullstreet,PBUILD,PSTREET,PSTREETTYPE,PSTREETSUF,PSUITE,PCITY,PSTATE,PCODE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
5A076327409D22E188257767006C81AF,,"5723 Lee Hwy",5723,"Lee Hwy",,,,Arlington,VA,22207,38.895209,-77.143301,1,rooftop,5723,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
5A357676848548528525817000502E11,," Wilson Blvd & Crystal CIty",,"Wilson Blvd & Crystal CIty",,,,Arlington,VA,,38.881762,-77.103353,0.9,street_center,,"Wilson Blvd",Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
5A3D8386470B549285257062004253C7,,"200 S Carlin Springs Rd",200,"S Carlin Springs Rd",,,,Arlington,VA,22204,38.864565,-77.129413,1,rooftop,200,"S Carlin Springs Rd",Arlington,VA,"Arlington County",22204,US,Arlington
5A466C4BAAC103EA8525789C006C00FF,," WNA-National Hall Space 31",,"WNA-National Hall Space 31",,,,Washington,VA,20001,38.90724,-77.019899,0.9,street_center,,"N St NW",Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
5A5373F6EF9E4CEB88256BF800748476,,"4923 Lee Hwy",4923,"Lee Hwy",,,,Arlington,VA,22207,38.896642,-77.128651,1,rooftop,4923,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
5AA0FAA068F4D5B285256F1E00544C0F,,"4809 N 1st St",4809,"N 1st St",,,,Arlington,VA,22203,38.874775,-77.119515,0.33,place,,,Arlington,VA,"Arlington County",22203,US,"TIGER/Line® dataset from the US Census Bureau"
5AC1DBB7639E6C7588256BF800748531,,"3007 Columbia Pike",3007,"Columbia Pike",,,,Arlington,VA,22204,38.862778,-77.088279,1,rooftop,3007,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
5ADC90CEC5CA75CF85258211006CA396,,"1900 N Quinn Street",1900,"N Quinn Street",,,,Arlington,VA,22209,38.897381,-77.078894,1,rooftop,1900,"N Quinn St",Arlington,VA,"Arlington County",22209,US,Arlington
5B1F8F014316C58A85257DC4005BA50B,,"2500 N Harrison St",2500,"N Harrison St",,,,Arlington,VA,22207,38.896974,-77.139361,1,rooftop,2500,"N Harrison St",Arlington,VA,"Arlington County",22207,US,Arlington
5B2008AC683C0ECE882581C50049FB6F,," Mobile",,Mobile,,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5B28D449DF71CB2688256BF800748512,,"2173-B Crystal Plaza Arcade",2173-B,"Crystal Plaza Arcade",,,,Arlington,VA,22202,38.854432,-77.050228,0.9,rooftop,2173,"Crystal Plaza Arc",Arlington,VA,"Arlington County",22202,US,"Virginia Geographic Information Network (VGIN)"
5B36668F1E0C97D985258097004D5586,," Mobile",,Mobile,,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
5B63CF45CFAF333F88256BF800748575,,"4154 S Four Mile Run Dr",4154,"S Four Mile Run Dr",,,,Arlington,VA,22206,38.848521,-77.099068,1,rooftop,4154,"S Four Mile Run Dr",Arlington,VA,"Arlington County",22206,US,Arlington
